MPB	CHEMBL325372
GCO	CHEMBL464345
D2U	CHEMBL72410
BBH	CHEMBL7390
AEF	CHEMBL11608
B76	CHEMBL260880
KNN	CHEMBL268246
ID2	CHEMBL788
AQO	CHEMBL6993
AB8	CHEMBL82235
B3N	CHEMBL140000
BHA	CHEMBL1169
IPU	CHEMBL483091
D7G	CHEMBL475920
ADZ	CHEMBL65976
5EH	CHEMBL860
F	CHEMBL1362
EPS	CHEMBL317037
AIC	CHEMBL174
LUG	CHEMBL485945
COU	CHEMBL6466
OX3	CHEMBL253951
MLO	CHEMBL180920
JTH	CHEMBL550937
887	CHEMBL272198
GAB	CHEMBL307782
3H1	CHEMBL132623
EQA	CHEMBL449221
FTS	CHEMBL177101
X99	CHEMBL458975
HK4	CHEMBL248396
LN5	CHEMBL507472
9XY	CHEMBL1093458
BCR	CHEMBL1293
EIN	CHEMBL382201
G3X	CHEMBL569978
ETQ	CHEMBL8946
MR4	CHEMBL253359
URB	CHEMBL144730
UBP	CHEMBL200737
F2A	CHEMBL1162297
PIL	CHEMBL42126
R96	CHEMBL1188031
101	CHEMBL513308
EZT	CHEMBL219585
2HC	CHEMBL52564
PX9	CHEMBL1198
PVS	CHEMBL165058
LBF	CHEMBL486133
MOA	CHEMBL866
780	CHEMBL327715
R55	CHEMBL1188712
GAM	CHEMBL38353
843	CHEMBL25826
B3R	CHEMBL185651
5HI	CHEMBL487631
0N8	CHEMBL463590
F92	CHEMBL319988
1N4	CHEMBL444979
FIC	CHEMBL23507
GMP	CHEMBL375655
R78	CHEMBL513909
6T4	CHEMBL71189
TOP	CHEMBL22
VX3	CHEMBL406652
BCZ	CHEMBL139367
HX7	CHEMBL494504
AE2	CHEMBL85799
DFW	CHEMBL363302
900	CHEMBL429743
28S	CHEMBL494325
2BS	CHEMBL95874
4A3	CHEMBL1462
2MI	CHEMBL259419
DCQ	CHEMBL217894
QUX	CHEMBL450129
MI1	CHEMBL221959
BOS	CHEMBL386049
OX2	CHEMBL540929
CXZ	CHEMBL404630
133	CHEMBL62836
AEY	CHEMBL333928
AT1	CHEMBL594840
I3N	CHEMBL148756
3AS	CHEMBL236720
903	CHEMBL357488
CHM	CHEMBL1231783
HU5	CHEMBL1233448
197	CHEMBL358866
TIA	CHEMBL1236300
XFI	CHEMBL1210329
AG2	CHEMBL58343
88Z	CHEMBL1230609
MWM	CHEMBL224550
31U	CHEMBL1230016
A77	CHEMBL73050
ACI	CHEMBL1230806
H12	CHEMBL187718
PZQ	CHEMBL1235551
L81	CHEMBL1215538
AIL	CHEMBL1230909
BX1	CHEMBL1231522
FML	CHEMBL1232785
C3S	CHEMBL1231592
4CS	CHEMBL1230264
BOR	CHEMBL1231428
QMS	CHEMBL1235568
DNA	CHEMBL1232286
SET	CHEMBL1229083
N69	CHEMBL1234593
ES2	CHEMBL1232568
5AZ	CHEMBL1230389
E36	CHEMBL1232443
8BJ	CHEMBL1213603
KMT	CHEMBL1233860
P6G	CHEMBL1235082
OKD	CHEMBL1234976
FNM	CHEMBL1232792
OKA	CHEMBL280487
G97	CHEMBL1232944
E3O	CHEMBL1232445
C0P	CHEMBL1231550
HLO	CHEMBL1233344
FBA	CHEMBL1232666
2MT	CHEMBL1229967
8XQ	CHEMBL1230640
AN4	CHEMBL1230982
MG7	CHEMBL1234293
SSR	CHEMBL1236060
533	CHEMBL1230351
1PE	CHEMBL1229766
F12	CHEMBL1213612
GIQ	CHEMBL1233049
MI6	CHEMBL1234332
FTY	CHEMBL1232859
ANP	CHEMBL1230989
RH1	CHEMBL1235676
MS5	CHEMBL1234474
F4P	CHEMBL1232635
BFH	CHEMBL1231307
RW1	CHEMBL1235765
C2E	CHEMBL1231573
AOO	CHEMBL1231002
P8H	CHEMBL1235119
HED	CHEMBL1233278
PUG	CHEMBL1235497
HDS	CHEMBL1208309
PYS	CHEMBL1235541
PTD	CHEMBL1235482
4GP	CHEMBL1230289
DL8	CHEMBL1232257
15A	CHEMBL1213402
808	CHEMBL1230591
0AP	CHEMBL1229558
ECL	CHEMBL1232474
T3M	CHEMBL1236145
BJA	CHEMBL1229259
DHT	CHEMBL27769
I66	CHEMBL1586798
BKE	CHEMBL1469891
4KA	CHEMBL1599242
6UV	CHEMBL156
OLF	CHEMBL1615150
5JD	CHEMBL1549385
76Y	CHEMBL1441956
5F4	CHEMBL1312860
URP	CHEMBL20962
H4K	CHEMBL540497
NTB	CHEMBL13782
Z99	CHEMBL432038
2YA	CHEMBL549612
BSX	CHEMBL379916
FPP	CHEMBL69330
C2U	CHEMBL449129
URA	CHEMBL566
AIT	CHEMBL180792
CXB	CHEMBL227452
RMA	CHEMBL436947
572	CHEMBL90488
H1K	CHEMBL549867
PM7	CHEMBL461324
HJJ	CHEMBL1078442
A1A	CHEMBL197165
EV1	CHEMBL19224
155	CHEMBL109367
LX9	CHEMBL597839
KAA	CHEMBL1163083
9A4	CHEMBL116709
1RZ	CHEMBL1230
98B	CHEMBL282700
3IP	CHEMBL194009
A5A	CHEMBL1163065
D93	CHEMBL391805
KOJ	CHEMBL287556
3C0	CHEMBL376897
RLT	CHEMBL254316
GAL	CHEMBL300520
JZQ	CHEMBL509191
L09	CHEMBL191598
JAA	CHEMBL449572
BK9	CHEMBL263379
71P	CHEMBL262394
22X	CHEMBL589399
N5B	CHEMBL324942
RRC	CHEMBL14762
TBO	CHEMBL58711
196	CHEMBL192154
83R	CHEMBL219828
304	CHEMBL258202
FF3	CHEMBL258256
LVO	CHEMBL467058
0NN	CHEMBL201945
2RA	CHEMBL420464
RC8	CHEMBL518800
M42	CHEMBL482693
PU0	CHEMBL326651
EKV	CHEMBL107568
H8N	CHEMBL66381
54T	CHEMBL97643
4NA	CHEMBL364092
I47	CHEMBL1090173
812	CHEMBL570775
2XE	CHEMBL278240
04E	CHEMBL376280
ETP	CHEMBL113381
FOM	CHEMBL203125
40N	CHEMBL280099
MYD	CHEMBL410744
ERM	CHEMBL442
0M8	CHEMBL261473
I7B	CHEMBL266240
240	CHEMBL181937
D2J	CHEMBL188540
R8E	CHEMBL489586
176	CHEMBL103581
C0R	CHEMBL110739
4FO	CHEMBL102493
U05	CHEMBL71927
4C4	CHEMBL247042
BO2	CHEMBL325041
5Q5	CHEMBL1088658
1ED	CHEMBL191426
DXT	CHEMBL1433
ZLK	CHEMBL603
1KP	CHEMBL499968
M4A	CHEMBL595536
MLT	CHEMBL225986
TYP	CHEMBL359788
894	CHEMBL391737
ZF0	CHEMBL274573
SNX	CHEMBL410448
172	CHEMBL126589
WW7	CHEMBL41631
IPB	CHEMBL29411
LO1	CHEMBL426815
JB1	CHEMBL454123
1Y6	CHEMBL316860
MCG	CHEMBL257626
08D	CHEMBL443
JS5	CHEMBL376109
9EG	CHEMBL1076347
PEM	CHEMBL264374
CMF	CHEMBL179532
SD3	CHEMBL413963
HVG	CHEMBL143210
1V3	CHEMBL293478
5CD	CHEMBL404658
P01	CHEMBL23327
IAB	CHEMBL1233515
IW5	CHEMBL1233694
45C	CHEMBL1230231
014	CHEMBL1229508
J0Z	CHEMBL1233714
1DB	CHEMBL1208302
OTT	CHEMBL1208330
AA2	CHEMBL233209
IY5	CHEMBL151382
RB1	CHEMBL259420
DNC	CHEMBL168276
RIS	CHEMBL923
09N	CHEMBL558552
MOT	CHEMBL104829
MIN	CHEMBL125181
INA	CHEMBL115357
D9G	CHEMBL1232088
COA	CHEMBL1213327
DBX	CHEMBL1232131
PBQ	CHEMBL1235156
8HS	CHEMBL324609
P9B	CHEMBL316779
LI2	CHEMBL365776
NJ8	CHEMBL1234746
A4F	CHEMBL1315872
2KU	CHEMBL1488445
9E8	CHEMBL1408684
6QF	CHEMBL1416045
GRV	CHEMBL1381910
9E5	CHEMBL1505114
61G	CHEMBL1566132
8T3	CHEMBL2403773
QJ4	CHEMBL2414428
QJ7	CHEMBL2414437
3ZE	CHEMBL2420978
21W	CHEMBL2432011
KXS	CHEMBL2441929
SS9	CHEMBL3040253
1R8	CHEMBL2407344
1QU	CHEMBL2407494
EK1	CHEMBL2377530
I31	CHEMBL2407612
I29	CHEMBL2407613
5VN	CHEMBL2386968
TFY	CHEMBL2407822
27Z	CHEMBL2377813
07Z	CHEMBL2377828
